"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"5170",1998,"Canada",15,13,1.9319821096327,6,5,4,"Nagano"
"5384",2002,"Canada",17,15,1.95189359951601,7,3,7,"Salt Lake City"
"5598",2006,"Canada",24,17,7.27967288418047,7,10,7,"Torino"
"5812",2010,"Canada",26,23,3.11533281234469,14,7,5,"Vancouver"
"6026",2014,"Canada",25,25,-0.0897005804484854,10,10,5,"Sochi"
"3250",1964,"Chile",0,1,-0.80751140786301,0,0,0,"Innsbruck"
"3464",1968,"Chile",0,0,-0.239461422194024,0,0,0,"Grenoble"
"3892",1976,"Chile",0,0,0.699302941709286,0,0,0,"Innsbruck"
"4320",1984,"Chile",0,0,0.406202011885374,0,0,0,"Sarajevo"
"4534",1988,"Chile",0,0,-0.0280195318046383,0,0,0,"Calgary"
"4748",1992,"Chile",0,1,-0.982317525544905,0,0,0,"Albertville"
"4962",1994,"Chile",0,0,-0.253650448398701,0,0,0,"Lillehammer"
"5176",1998,"Chile",0,1,-0.634120095745031,0,0,0,"Nagano"
"5390",2002,"Chile",0,1,-0.690577965661719,0,0,0,"Salt Lake City"
"5604",2006,"Chile",0,1,-0.644150849873167,0,0,0,"Torino"
"5818",2010,"Chile",0,1,-0.536827807105234,0,0,0,"Vancouver"
"6032",2014,"Chile",0,1,-0.934586670821129,0,0,0,"Sochi"
"4321",1984,"China",0,0,0.203696351508257,0,0,0,"Sarajevo"
"4535",1988,"China",0,0,-0.206485638826087,0,0,0,"Calgary"
"4749",1992,"China",3,1,1.94724608445905,0,3,0,"Albertville"
"4963",1994,"China",3,3,-0.0631177071908681,0,1,2,"Lillehammer"
"5177",1998,"China",8,4,4.4589320804913,0,6,2,"Nagano"
"5391",2002,"China",8,8,-0.304771332263053,2,2,4,"Salt Lake City"
"5605",2006,"China",11,8,2.79986542324612,2,4,5,"Torino"
"5819",2010,"China",11,11,0.0173804645381241,5,2,4,"Vancouver"
"6033",2014,"China",9,11,-2.38037839917777,3,4,2,"Sochi"
"4326",1984,"Costa Rica",0,0,0.694791263849927,0,0,0,"Sarajevo"
"4540",1988,"Costa Rica",0,0,0.256228714660085,0,0,0,"Calgary"
"4754",1992,"Costa Rica",0,1,-0.595606675208873,0,0,0,"Albertville"
"5396",2002,"Costa Rica",0,0,-0.369313409790483,0,0,0,"Salt Lake City"
"5610",2006,"Costa Rica",0,0,-0.123370279451472,0,0,0,"Torino"
"4970",1994,"Croatia",0,0,0.0683807947590165,0,0,0,"Lillehammer"
"5184",1998,"Croatia",0,0,-0.400632477542729,0,0,0,"Nagano"
"5398",2002,"Croatia",4,1,3.46504130833295,3,1,0,"Salt Lake City"
"5612",2006,"Croatia",3,4,-1.05213070557447,1,2,0,"Torino"
"5826",2010,"Croatia",3,3,0.0203662071170391,0,2,1,"Vancouver"
"6040",2014,"Croatia",1,3,-2.37739265659886,0,1,0,"Sochi"
"4331",1984,"Cyprus",0,0,0.727586273745082,0,0,0,"Sarajevo"
"4545",1988,"Cyprus",0,0,0.138665573585816,0,0,0,"Calgary"
"4759",1992,"Cyprus",0,1,-0.769360508703408,0,0,0,"Albertville"
"4973",1994,"Cyprus",0,0,0.018154324716497,0,0,0,"Lillehammer"
"5187",1998,"Cyprus",0,0,-0.313620623826177,0,0,0,"Nagano"
"5401",2002,"Cyprus",0,0,-0.449151017354145,0,0,0,"Salt Lake City"
"5615",2006,"Cyprus",0,0,-0.309941226546799,0,0,0,"Torino"
"5829",2010,"Cyprus",0,0,-0.154729167344646,0,0,0,"Vancouver"
"6043",2014,"Cyprus",0,1,-0.552488031060541,0,0,0,"Sochi"
"5188",1998,"Czech Republic",3,1,2.381544431206,1,1,1,"Nagano"
"5402",2002,"Czech Republic",3,4,-0.522660637773966,1,2,0,"Salt Lake City"
"5616",2006,"Czech Republic",4,3,0.573352711556952,1,2,1,"Torino"
"5830",2010,"Czech Republic",6,4,1.7942967905257,2,0,4,"Vancouver"
"6044",2014,"Czech Republic",8,6,1.58926339773253,2,4,2,"Sochi"
"3263",1964,"Denmark",0,1,-1.11287409466798,0,0,0,"Innsbruck"
"3477",1968,"Denmark",0,1,-0.606453903477585,0,0,0,"Grenoble"
"4547",1988,"Denmark",0,1,-0.8043982273196,0,0,0,"Calgary"
"4761",1992,"Denmark",0,2,-1.6479918986788,0,0,0,"Albertville"
"4975",1994,"Denmark",0,1,-0.847897203848576,0,0,0,"Lillehammer"
"5189",1998,"Denmark",1,1,-0.139882918510456,0,1,0,"Nagano"
"5403",2002,"Denmark",0,2,-2.15145920320374,0,0,0,"Salt Lake City"
"5617",2006,"Denmark",0,1,-1.07871750345125,0,0,0,"Torino"
"5831",2010,"Denmark",0,1,-0.891891531689619,0,0,0,"Vancouver"
"6045",2014,"Denmark",0,1,-1.28965039540551,0,0,0,"Sochi"
"5198",1998,"Estonia",0,0,-0.0219477124628945,0,0,0,"Nagano"
"5412",2002,"Estonia",3,0,2.7574674046038,1,1,1,"Salt Lake City"
"5626",2006,"Estonia",3,3,0.062292080428197,3,0,0,"Torino"
"5840",2010,"Estonia",1,3,-1.7493166150351,0,1,0,"Vancouver"
"6054",2014,"Estonia",0,1,-1.33980094967372,0,0,0,"Sochi"
"5841",2010,"Ethiopia",0,0,0.60607964088394,0,0,0,"Vancouver"
"4987",1994,"Fiji",0,0,0.560085516510457,0,0,0,"Lillehammer"
"5415",2002,"Fiji",0,0,0.211690872245892,0,0,0,"Salt Lake City"
"3276",1964,"Finland",10,8,1.73153254558698,3,4,3,"Innsbruck"
"3490",1968,"Finland",5,9,-4.49192290148858,1,2,2,"Grenoble"
"3704",1972,"Finland",5,4,0.972338516099864,0,4,1,"Sapporo"
