"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"4078",1980,"YR1980","Austria","AUT",81215814720,7549433,"Austria","Winter",1980,"Lake Placid","United States",6,3,2,2,7,1,0,7,6.186012748,10,64,15.8369830190674,25.1203758277119,9.28339280864449,6,6,0.868217746892618
"4292",1984,"YR1984","Austria","AUT",67286843408,7561434,"Austria","Winter",1984,"Sarajevo","Yugoslavia",17,0,0,1,1,1,0,1,6.186012748,10,57,15.8385714127079,24.9322305627773,9.09365915006939,7,7,-5.51924249572389
"4506",1988,"YR1988","Austria","AUT",131969428285,7585317,"Austria","Winter",1988,"Calgary","Canada",4,3,5,2,10,1,0,10,6.186012748,13,70,15.841724962904,25.6058361288069,9.76411116590295,1,2,8.32216790402748
"4720",1992,"YR1992","Austria","AUT",193073835462,7840709,"Austria","Winter",1992,"Albertville","France",3,6,7,8,21,1,0,21,6.186012748,14,145,15.8748398219112,25.9863385198518,10.1114986979406,10,11,10.2669922110755
"4934",1994,"YR1994","Austria","AUT",201444060957,7936118,"Austria","Winter",1994,"Lillehammer","Norway",8,2,3,4,9,1,0,9,6.186012748,12,183,15.8869347967879,26.0287775666749,10.141842769887,21,20,-10.9335087947263
"5148",1998,"YR1998","Austria","AUT",213329585371,7976789,"Austria","Winter",1998,"Nagano","Japan",4,3,5,9,17,1,0,17,6.186012748,14,205,15.8920465074967,26.0861041559043,10.1940576484076,9,9,7.71028553765099
"5362",2002,"YR2002","Austria","AUT",207537336721,8081957,"Austria","Winter",2002,"Salt Lake City","United States",5,3,4,10,17,1,0,17,6.186012748,15,234,15.9051446041412,26.0585770964354,10.1534324922943,17,17,0.342645093297408
"5576",2006,"YR2006","Austria","AUT",324954402044,8268641,"Austria","Winter",2006,"Torino","Italy",4,9,7,7,23,1,0,23,6.186012748,15,252,15.9279807245968,26.5069507080299,10.5789699834331,17,16,6.51770506540255
"5790",2010,"YR2010","Austria","AUT",375217439474,8389771,"Austria","Winter",2010,"Vancouver","Canada",5,4,6,6,16,1,0,16,6.186012748,15,258,15.9425237836728,26.6507715334727,10.7082477497999,23,22,-5.75302689670896
"5363",2002,"YR2002","Azerbaijan","AZE",6236024951,8171950,"Azerbaijan","Winter",2002,"Salt Lake City","United States",0,0,0,0,0,1,0,0,12.22434447,15,234,15.9162181164477,22.5536087892565,6.63739067280877,0,0,0.135941982516886
"5577",2006,"YR2006","Azerbaijan","AZE",20982270733,8484550,"Azerbaijan","Winter",2006,"Torino","Italy",0,0,0,0,0,1,0,0,12.22434447,15,252,15.9537574204768,23.7669436672799,7.81318624680305,0,0,0.0214482304374221
"5791",2010,"YR2010","Azerbaijan","AZE",52905998879,9054332,"Azerbaijan","Winter",2010,"Vancouver","Canada",0,0,0,0,0,1,0,0,12.22434447,15,258,16.0187538751814,24.6917825697405,8.67302869455911,0,0,-0.0847940460184825
"5154",1998,"YR1998","Belarus","BLR",15222014828,10069000,"Belarus","Winter",1998,"Nagano","Japan",17,0,0,2,2,1,0,2,6.294930099,14,205,16.1249719548978,23.4460085609075,7.32103660600979,2,2,0.121107251369689
"5368",2002,"YR2002","Belarus","BLR",14594925393,9865000,"Belarus","Winter",2002,"Salt Lake City","United States",23,0,0,1,1,1,0,1,6.294930099,15,234,16.1045036974389,23.4039397294203,7.29943603198145,2,2,-0.974610731711795
"5582",2006,"YR2006","Belarus","BLR",36961918859,9604000,"Belarus","Winter",2006,"Torino","Italy",25,0,1,0,1,1,0,1,6.294930099,15,252,16.0776902363233,24.333153999553,8.2554637632297,1,1,-0.0825958295059445
"5796",2010,"YR2010","Belarus","BLR",55220932614,9490000,"Belarus","Winter",2010,"Vancouver","Canada",20,1,1,1,3,1,0,3,6.294930099,15,258,16.0657491705861,24.7346079323677,8.66885876178162,1,1,1.99786211966941
"3657",1972,"YR1972","Belgium","BEL",36756500047,9711115,"Belgium","Winter",1972,"Sapporo","Japan",0,0,0,0,0,1,0,0,9.514241274,10,67,16.0887816637471,24.3275809189925,8.23879925524532,0,0,0.283537659386972
"3871",1976,"YR1976","Belgium","BEL",70248275973,9818227,"Belgium","Winter",1976,"Innsbruck","Austria",0,0,0,0,0,1,0,0,9.514241274,10,54,16.0997511141314,24.9753016035495,8.87555048941813,0,0,-0.0752743266893348
"4085",1980,"YR1980","Belgium","BEL",125285531605,9859242,"Belgium","Winter",1980,"Lake Placid","United States",0,0,0,0,0,1,0,0,9.514241274,10,64,16.1039198473559,25.5538612221493,9.4499413747934,0,1,-0.797664130398752
"4299",1984,"YR1984","Belgium","BEL",82334988808,9855372,"Belgium","Winter",1984,"Sarajevo","Yugoslavia",0,0,0,0,0,1,0,0,9.514241274,10,57,16.1035272451929,25.1340619916839,9.03053474649097,0,0,-0.188004529204195
"4513",1988,"YR1988","Belgium","BEL",160323578328,9901664,"Belgium","Winter",1988,"Calgary","Canada",0,0,0,0,0,1,0,0,9.514241274,13,70,16.1082133817889,25.800459974504,9.6922465927151,0,1,-0.797654323579122
"4727",1992,"YR1992","Belgium","BEL",231923859990,10045158,"Belgium","Winter",1992,"Albertville","France",0,0,0,0,0,1,0,0,9.514241274,14,145,16.122601285326,26.1696749650484,10.0470736797224,0,2,-1.67060565162105
"4941",1994,"YR1994","Belgium","BEL",241903369307,10115603,"Belgium","Winter",1994,"Lillehammer","Norway",0,0,0,0,0,1,0,0,9.514241274,12,183,16.1295896412411,26.2118041829772,10.0822145417361,0,1,-0.872724867362068
"5155",1998,"YR1998","Belgium","BEL",255599022005,10203008,"Belgium","Winter",1998,"Nagano","Japan",24,0,0,1,1,1,0,1,9.514241274,14,205,16.1381931367402,26.266875733171,10.1286825964307,0,1,-0.135620870595871
"5369",2002,"YR2002","Belgium","BEL",252795031056,10332785,"Belgium","Winter",2002,"Salt Lake City","United States",0,0,0,0,0,1,0,0,9.514241274,15,234,16.1508324078572,26.255844843393,10.1050124355358,1,2,-2.14655202238469
"5583",2006,"YR2006","Belgium","BEL",399965627160,10547958,"Belgium","Winter",2006,"Torino","Italy",0,0,0,0,0,1,0,0,9.514241274,15,252,16.1714428446499,26.714644448262,10.5432016036121,0,1,-1.06684022444381
"5797",2010,"YR2010","Belgium","BEL",468078947368,10895586,"Belgium","Winter",2010,"Vancouver","Canada",0,0,0,0,0,1,0,0,9.514241274,15,258,16.2038683110549,26.8719028095946,10.6680344985397,0,1,-0.885577659533184
"4304",1984,"YR1984","Bolivia","BOL",6169481549,5900127,"","Winter",1984,"Sarajevo","Yugoslavia",0,0,0,0,0,1,0,0,20.97503004,10,57,15.590484434068,22.5428806436184,6.95239620955042,0,0,0.713765462079253
"4518",1988,"YR1988","Bolivia","BOL",4597615563,6481463,"","Winter",1988,"Calgary","Canada",0,0,0,0,0,1,0,0,20.97503004,13,70,15.6844568144508,22.248803650179,6.56434683572822,0,0,0.486061166653684
"4732",1992,"YR1992","Bolivia","BOL",5643864408,7123294,"","Winter",1992,"Albertville","France",0,0,0,0,0,1,0,0,20.97503004,14,145,15.7788808168525,22.453834846552,6.67495402969951,0,0,-0.310547510044997
"5161",1998,"YR1998","Bosnia and Herzegovina","BIH",4116699576,3640821,"","Winter",1998,"Nagano","Japan",0,0,0,0,0,1,0,0,9.016531835,14,205,15.107719763631,22.1383176054904,7.03059784185936,0,0,0.264827216396451
"5375",2002,"YR2002","Bosnia and Herzegovina","BIH",6651226179,3897579,"","Winter",2002,"Salt Lake City","United States",0,0,0,0,0,1,0,0,9.016531835,15,234,15.1758661491121,22.6180670624364,7.44220091332427,0,0,-0.0150002737323019
"5589",2006,"YR2006","Bosnia and Herzegovina","BIH",12400102623,3875157,"","Winter",2006,"Torino","Italy",0,0,0,0,0,1,0,0,9.016531835,15,252,15.1700967360779,23.2409705855715,8.07087384949368,0,0,0.0885428935085783
"5803",2010,"YR2010","Bosnia and Herzegovina","BIH",16775469778,3845929,"","Winter",2010,"Vancouver","Canada",0,0,0,0,0,1,0,0,9.016531835,15,258,15.162525744222,23.5431835240618,8.38065777983978,0,0,0.207636810269138
"4949",1994,"YR1994","Brazil","BRA",546233380260,159432909,"Brazil","Winter",1994,"Lillehammer","Norway",0,0,0,0,0,1,0,0,24.91577183,12,183,18.8871337584694,27.02631215774,8.13917839927068,0,1,-0.713163135192158
"5163",1998,"YR1998","Brazil","BRA",843827363149,169472347,"Brazil","Winter",1998,"Nagano","Japan",0,0,0,0,0,1,0,0,24.91577183,14,205,18.9482003269325,27.461213764588,8.5130134376555,0,1,-1.112126283756
"5377",2002,"YR2002","Brazil","BRA",504221228974,179393768,"Brazil","Winter",2002,"Salt Lake City","United States",0,0,0,0,0,1,0,0,24.91577183,15,234,19.00509376897,26.946280955086,7.941187186116,0,1,-1.01410370069358
"5591",2006,"YR2006","Brazil","BRA",1088916819853,188134315,"Brazil","Winter",2006,"Torino","Italy",0,0,0,0,0,1,0,0,24.91577183,15,252,19.0526667071918,27.7162045748253,8.66353786763353,0,1,-0.957590666434173
"5805",2010,"YR2010","Brazil","BRA",2143035333258,195210154,"Brazil","Winter",2010,"Vancouver","Canada",0,0,0,0,0,1,0,0,24.91577183,15,258,19.089587249033,28.3932443200386,9.30365707100564,0,1,-0.974013897495527
"4095",1980,"YR1980","Bulgaria","BGR",20039628408,8861535,"Bulgaria","Winter",1980,"Lake Placid","United States",18,0,0,1,1,1,0,1,10.39676164,10,64,15.9972305581395,23.7209775704762,7.72374701233674,0,0,0.883926654301422
"4309",1984,"YR1984","Bulgaria","BGR",17411160328,8960679,"Bulgaria","Winter",1984,"Sarajevo","Yugoslavia",0,0,0,0,0,1,0,0,10.39676164,10,57,16.0083565633299,23.5803772357199,7.57202067239007,1,1,-0.520058792192433
"4523",1988,"YR1988","Bulgaria","BGR",23002459532,8981446,"Bulgaria","Winter",1988,"Calgary","Canada",0,0,0,0,0,1,0,0,10.39676164,13,70,16.0106714518142,23.8588669833322,7.84819553151799,0,0,-0.0729973661652728
"4737",1992,"YR1992","Bulgaria","BGR",10371900499,8540164,"Bulgaria","Winter",1992,"Albertville","France",0,0,0,0,0,1,0,0,10.39676164,14,145,15.9602907693274,23.062366111345,7.1020753420176,0,1,-0.511929690428317
"4951",1994,"YR1994","Bulgaria","BGR",9704877673,8443591,"Bulgaria","Winter",1994,"Lillehammer","Norway",0,0,0,0,0,1,0,0,10.39676164,12,183,15.9489182500174,22.9958944489542,7.04697619893678,0,0,0.324281911405966
"5165",1998,"YR1998","Bulgaria","BGR",13060786998,8256786,"Bulgaria","Winter",1998,"Nagano","Japan",19,1,0,0,1,1,0,1,10.39676164,14,205,15.9265459656603,23.2928802191629,7.3663342535026,0,0,0.963737282591435
"5379",2002,"YR2002","Bulgaria","BGR",15979194511,7868468,"Bulgaria","Winter",2002,"Salt Lake City","United States",18,0,1,2,3,1,0,3,10.39676164,15,234,15.878373938166,23.494553369944,7.61617943177806,1,1,1.86121890013565
"5593",2006,"YR2006","Bulgaria","BGR",33209188739,7699020,"Bulgaria","Winter",2006,"Torino","Italy",24,0,1,0,1,1,0,1,10.39676164,15,252,15.8566036059968,24.2260924438223,8.36948883782552,3,3,-1.89746993287783
"5807",2010,"YR2010","Bulgaria","BGR",47727325909,7534289,"Bulgaria","Winter",2010,"Vancouver","Canada",0,0,0,0,0,1,0,0,10.39676164,15,258,15.8349750259356,24.5887699410229,8.75379491508722,1,1,-0.98583565152509
"3244",1964,"YR1964","Canada","CAN",48882938810,19325000,"Canada","Winter",1964,"Innsbruck","Austria",10,1,1,1,3,1,0,3,-7.144579613,11,69,16.7769101524378,24.6126942729566,7.83578412051885,4,5,-2.11486528165984
"3458",1968,"YR1968","Canada","CAN",70759031842,20744000,"Canada","Winter",1968,"Grenoble","France",14,1,1,1,3,1,0,3,-7.144579613,10,77,16.8477676062006,24.9825460238663,8.13477841766563,3,4,-0.702387657324939
"3672",1972,"YR1972","Canada","CAN",111034447924,21993631,"Canada","Winter",1972,"Sapporo","Japan",17,0,1,0,1,1,0,1,-7.144579613,10,67,16.9062634694094,25.4331063317704,8.52684286236102,3,3,-1.72609603364064
"3886",1976,"YR1976","Canada","CAN",202833671400,23518000,"Canada","Winter",1976,"Innsbruck","Austria",11,1,1,1,3,1,0,3,-7.144579613,10,54,16.9732766433655,26.0356521274259,9.06237548406044,1,1,1.75992748115955
"4100",1980,"YR1980","Canada","CAN",268893260349,24593000,"Canada","Winter",1980,"Lake Placid","United States",13,0,1,1,2,1,0,2,-7.144579613,10,64,17.0179724075642,26.3175803361251,9.29960792856083,3,4,-1.66031736179368
"4314",1984,"YR1984","Canada","CAN",347140761331,25702000,"Canada","Winter",1984,"Sarajevo","Yugoslavia",10,2,1,1,4,1,0,4,-7.144579613,10,57,17.0620793678492,26.5729961868894,9.51091681904014,2,2,1.60815031053628
"4528",1988,"YR1988","Canada","CAN",498166896888,26895000,"Canada","Winter",1988,"Calgary","Canada",12,0,2,3,5,1,0,5,-7.144579613,13,70,17.1074509536895,26.9342009921394,9.82675003844988,4,5,0.303941396797835
"4742",1992,"YR1992","Canada","CAN",579531728303,28519597,"Canada","Winter",1992,"Albertville","France",9,2,3,2,7,1,0,7,-7.144579613,14,145,17.1661020229757,27.0854862493974,9.91938422642165,5,6,0.612736472639552
"4956",1994,"YR1994","Canada","CAN",564493995313,29111906,"Canada","Winter",1994,"Lillehammer","Norway",6,3,6,4,13,1,0,13,-7.144579613,12,183,17.1866577893599,27.0591955833015,9.87253779394164,7,7,5.6210305971397
"5170",1998,"YR1998","Canada","CAN",616766430738,30247900,"Canada","Winter",1998,"Nagano","Japan",5,6,5,4,15,1,0,15,-7.144579613,14,205,17.2249373185437,27.1477562328409,9.92281891429717,13,13,1.89633872009696
"5384",2002,"YR2002","Canada","CAN",734661951188,31362000,"Canada","Winter",2002,"Salt Lake City","United States",4,7,3,7,17,1,0,17,-7.144579613,15,234,17.2611075269231,27.3226763000024,10.0615687730793,15,15,1.90941439417427
"5598",2006,"YR2006","Canada","CAN",1278610846645,32576074,"Canada","Winter",2006,"Torino","Italy",3,7,10,7,24,1,0,24,-7.144579613,15,252,17.2990886505008,27.876795328463,10.5777066779622,17,17,7.22866049327478
"5812",2010,"YR2010","Canada","CAN",1577040082218,34126547,"Canada","Winter",2010,"Vancouver","Canada",3,14,7,5,26,1,0,26,-7.144579613,15,258,17.3455861437752,28.0865708403385,10.7409846965633,24,23,3.02918736808435
"3250",1964,"YR1964","Chile","CHL",5794301527,8455039,"Chile","Winter",1964,"Innsbruck","Austria",0,0,0,0,0,1,0,0,8.369828303,11,69,15.9502731529594,22.480140776189,6.52986762322963,0,1,-0.805661646819945
"3464",1968,"YR1968","Chile","CHL",7074820186,9220119,"Chile","Winter",1968,"Grenoble","France",0,0,0,0,0,1,0,0,8.369828303,10,77,16.036898502174,22.6798078647464,6.64290936257238,0,0,-0.234529084657072
"3892",1976,"YR1976","Chile","CHL",9857547849,10580399,"Chile","Winter",1976,"Innsbruck","Austria",0,0,0,0,0,1,0,0,8.369828303,10,54,16.1745136963487,23.0115032777748,6.83698958142605,0,0,0.687262307611004
"4320",1984,"YR1984","Chile","CHL",19232737055,11926647,"Chile","Winter",1984,"Sarajevo","Yugoslavia",0,0,0,0,0,1,0,0,8.369828303,10,57,16.2942856984095,23.6798797189721,7.38559402056261,0,0,0.399753691668765
"4534",1988,"YR1988","Chile","CHL",24640912616,12757095,"Chile","Winter",1988,"Calgary","Canada",0,0,0,0,0,1,0,0,8.369828303,13,70,16.3615981453846,23.9276740129129,7.56607586752825,0,0,-0.0393865603776178
"4748",1992,"YR1992","Chile","CHL",44467946384,13706485,"Chile","Winter",1992,"Albertville","France",0,0,0,0,0,1,0,0,8.369828303,14,145,16.4333796364642,24.5180344605961,8.0846548241319,0,1,-0.986977831752741
"4962",1994,"YR1994","Chile","CHL",55154226760,14204726,"Chile","Winter",1994,"Lillehammer","Norway",0,0,0,0,0,1,0,0,8.369828303,12,183,16.4690852841016,24.7333992208696,8.26431393676797,0,0,-0.250338219118657
"5176",1998,"YR1998","Chile","CHL",79373597080,15072409,"Chile","Winter",1998,"Nagano","Japan",0,0,0,0,0,1,0,0,8.369828303,14,205,16.528376411842,25.0974316194204,8.56905520757841,0,1,-0.62254642128337
"5390",2002,"YR2002","Chile","CHL",70984568429,15819522,"Chile","Winter",2002,"Salt Lake City","United States",0,0,0,0,0,1,0,0,8.369828303,15,234,16.5767553049295,24.9857283442942,8.40897303936475,0,1,-0.679930006276348
"5604",2006,"YR2006","Chile","CHL",154671012211,16504530,"Chile","Winter",2006,"Torino","Italy",0,0,0,0,0,1,0,0,8.369828303,15,252,16.6191454466446,25.7645661963017,9.14542074965703,0,1,-0.627704812065922
"5818",2010,"YR2010","Chile","CHL",217556229881,17150760,"Chile","Winter",2010,"Vancouver","Canada",0,0,0,0,0,1,0,0,8.369828303,15,258,16.6575530454632,26.105723182251,9.44817013678785,0,1,-0.515634067800894
"4321",1984,"YR1984","China","CHN",257432147241,1036825000,"China","Winter",1984,"Sarajevo","Yugoslavia",0,0,0,0,0,1,0,0,6.325663982,10,57,20.7594289959259,26.2740220164662,5.51459302054034,0,0,0.171231048528464
"4535",1988,"YR1988","China","CHN",309522625242,1101630000,"China","Winter",1988,"Calgary","Canada",0,0,0,0,0,1,0,0,6.325663982,13,70,20.8200567381234,26.4582970289582,5.63824029083479,0,0,-0.24479816949188
"4749",1992,"YR1992","China","CHN",422660918111,1164970000,"China","Winter",1992,"Albertville","France",15,0,3,0,3,1,0,3,6.325663982,14,145,20.8759611725595,26.7698360824992,5.89387490993968,0,1,1.91135549841282
"4963",1994,"YR1994","China","CHN",559224707281,1191835000,"China","Winter",1994,"Lillehammer","Norway",16,0,1,2,3,1,0,3,6.325663982,12,183,20.8987599731895,27.0498172101536,6.1510572369641,3,3,-0.10591463617729
"5177",1998,"YR1998","China","CHN",1019458585326,1241935000,"China","Winter",1998,"Nagano","Japan",12,0,6,2,8,1,0,8,6.325663982,14,205,20.9399364841445,27.6502928036012,6.71035631945669,3,4,4.42851197747984
"5391",2002,"YR2002","China","CHN",1453827554714,1280400000,"China","Winter",2002,"Salt Lake City","United States",11,2,2,4,8,1,0,8,6.325663982,15,234,20.97043836606,28.0052208873969,7.03478252133693,8,8,-0.355143527093342
