"","GameType","Year","locCity","locCountry","Rank","partCountry","Gold","Silver","Bronze","Total","Wbcountry","GDP","Pop","winter1var","gdppercap"
"63","Summer",2012,"London","Great Britain",64,"Greece",0,0,2,2,"Greece",249098684277,11280167,0,22082.8897548237
"64","Summer",2012,"London","Great Britain",65,"Singapore",0,0,2,2,"Singapore",274701299734,5312400,0,51709.4533043446
"65","Summer",2012,"London","Great Britain",66,"Moldova",0,0,2,2,"Moldova",7252769934,3559541,0,2037.5576328521
"66","Summer",2012,"London","Great Britain",67,"Qatar",0,0,2,2,"Qatar",0,2050514,0,0
"67","Summer",2012,"London","Great Britain",68,"Grenada",1,0,0,1,"Grenada",766510727,105483,0,7266.67545481262
"68","Summer",2012,"London","Great Britain",69,"Algeria",1,0,0,1,"Algeria",205788796017,38481705,0,5347.7047344186
"69","Summer",2012,"London","Great Britain",70,"Uganda",1,0,0,1,"Uganda",19881412441,36345860,0,547.006246130921
"70","Summer",2012,"London","Great Britain",71,"Bahamas",1,0,0,1,"Bahamas, The",8149004000,371960,0,21908.2804602645
"71","Summer",2012,"London","Great Britain",72,"Venezuela",1,0,0,1,"Venezuela, RB",381286237848,29954782,0,12728.726847286
"72","Summer",2012,"London","Great Britain",73,"Guatemala",0,1,0,1,"Guatemala",50233749191,15082831,0,3330.52523037618
"73","Summer",2012,"London","Great Britain",74,"Botswana",0,1,0,1,"Botswana",14504339386,2003910,0,7238.01936514115
"74","Summer",2012,"London","Great Britain",75,"Portugal",0,1,0,1,"Portugal",212273977886,10526703,0,20165.2861191201
"75","Summer",2012,"London","Great Britain",76,"Montenegro",0,1,0,1,"Montenegro",4373170812,621081,0,7041.22459389355
"76","Summer",2012,"London","Great Britain",77,"Cyprus",0,1,0,1,"Cyprus",22766912960,1128994,0,20165.6633781933
"77","Summer",2012,"London","Great Britain",78,"Gabon",0,1,0,1,"Gabon",18377083881,1632572,0,11256.5227634677
"78","Summer",2012,"London","Great Britain",79,"Kuwait",0,0,1,1,"Kuwait",0,3250496,0,0
"79","Summer",2012,"London","Great Britain",80,"Afghanistan",0,0,1,1,"Afghanistan",20496777409,29824536,0,687.245474967322
"80","Summer",2012,"London","Great Britain",81,"Morocco",0,0,1,1,"Morocco",95981572517,32521143,0,2951.35913633171
"81","Summer",2012,"London","Great Britain",82,"Bahrain",0,0,1,1,"Bahrain",0,1317827,0,0
"82","Summer",2012,"London","Great Britain",83,"Tajikistan",0,0,1,1,"Tajikistan",6972163026,8008990,0,870.542106557756
"83","Summer",2012,"London","Great Britain",84,"Hong Kong",0,0,1,1,"Hong Kong SAR, China",263259372905,7154600,0,36795.8198788192
"84","Summer",2012,"London","Great Britain",85,"Saudi Arabia",0,0,1,1,"Saudi Arabia",711049600000,28287855,0,25136.2148172776
"85","Winter",2010,"Vancouver","Canada",1,"United States",9,15,13,37,"United States",1.49583e+13,309326225,1,48357.684512524
"86","Winter",2010,"Vancouver","Canada",2,"Germany",10,13,7,30,"Germany",3282894736842,81776930,1,40144.5094214469
"87","Winter",2010,"Vancouver","Canada",3,"Canada",14,7,5,26,"Canada",1577040082218,34126547,1,46211.5338600767
"88","Winter",2010,"Vancouver","Canada",4,"Norway",9,8,6,23,"Norway",421236092715,4889252,1,86155.5290492288
"89","Winter",2010,"Vancouver","Canada",5,"Austria",4,6,6,16,"Austria",375217439474,8389771,1,44723.2039437072
"90","Winter",2010,"Vancouver","Canada",6,"Russia",3,5,7,15,"Russian Federation",1524916698233,142389000,1,10709.5119583184
"91","Winter",2010,"Vancouver","Canada",7,"South Korea",6,6,2,14,"Korea, Rep.",1014890141871,49410000,1,20540.1769251366
"92","Winter",2010,"Vancouver","Canada",8,"Sweden",5,2,4,11,"Sweden",462903051318,9378126,1,49359.8669198942
"93","Winter",2010,"Vancouver","Canada",9,"China",5,2,4,11,"China",5930529470799,1337705000,1,4433.36121999918
"94","Winter",2010,"Vancouver","Canada",10,"France",2,3,6,11,"France",2548315434211,65031235,1,39186.0224430768
"95","Winter",2010,"Vancouver","Canada",11,"Switzerland",6,0,3,9,"Switzerland",550638974462,7824909,1,70370.0163748869
"96","Winter",2010,"Vancouver","Canada",12,"Netherlands",4,1,3,8,"Netherlands",772090789474,16615394,1,46468.4008982273
"97","Winter",2010,"Vancouver","Canada",13,"Czech Republic",2,0,4,6,"Czech Republic",198475392670,10519792,1,18866.8552258448
"98","Winter",2010,"Vancouver","Canada",14,"Poland",1,3,2,6,"Poland",469736810691,38183683,1,12302.0299191935
"99","Winter",2010,"Vancouver","Canada",15,"Italy",1,1,3,5,"Italy",2041954747600,60483385,1,33760.5897487384
"100","Winter",2010,"Vancouver","Canada",16,"Japan",0,3,2,5,"Japan",5495379357485,127450459,1,43117.7682732786
"101","Winter",2010,"Vancouver","Canada",17,"Finland",0,1,4,5,"Finland",235163157895,5363352,1,43846.3031878199
"102","Winter",2010,"Vancouver","Canada",18,"Australia",2,1,0,3,"Australia",1141793593834,22065300,1,51746.1169272115
"103","Winter",2010,"Vancouver","Canada",19,"Slovakia",1,1,1,3,"Slovak Republic",87077443709,5430099,1,16036.0692703761
"104","Winter",2010,"Vancouver","Canada",20,"Belarus",1,1,1,3,"Belarus",55220932614,9490000,1,5818.85485922023
"105","Winter",2010,"Vancouver","Canada",21,"Croatia",0,2,1,3,"Croatia",58873839435,4417800,1,13326.5062780117
"106","Winter",2010,"Vancouver","Canada",22,"Slovenia",0,2,1,3,"Slovenia",46908328071,2048583,1,22897.9387562037
"107","Winter",2010,"Vancouver","Canada",23,"Latvia",0,2,0,2,"Latvia",24009680460,2239008,1,10723.3562631308
"108","Winter",2010,"Vancouver","Canada",24,"Great Britain",1,0,0,1,"United Kingdom",2285561538462,62271177,1,36703.3617890666
"109","Winter",2010,"Vancouver","Canada",25,"Kazakhstan",0,1,0,1,"Kazakhstan",148052371904,16323287,1,9070.00972929043
"110","Winter",2010,"Vancouver","Canada",26,"Estonia",0,1,0,1,"Estonia",18909381437,1340161,1,14109.783404382
"111","Summer",2008,"Beijing","China",1,"United States",36,38,36,110,"United States",1.47203e+13,304093966,0,48407.0769099049
"112","Summer",2008,"Beijing","China",2,"China",51,21,28,100,"China",4521827288304,1324655000,0,3413.58866142807
"113","Summer",2008,"Beijing","China",3,"Russia",23,21,29,73,"Russian Federation",1660846387626,141950000,0,11700.221117478
"114","Summer",2008,"Beijing","China",4,"Great Britain",19,13,15,47,"United Kingdom",2687796663762,61393521,0,43779.8096604037
"115","Summer",2008,"Beijing","China",5,"Australia",14,15,17,46,"Australia",1055506156997,21384400,0,49358.6987241634
"116","Summer",2008,"Beijing","China",6,"Germany",16,10,15,41,"Germany",3623686234299,82110097,0,44132.0418157465
"117","Summer",2008,"Beijing","China",7,"France",7,16,18,41,"France",2831794045483,64371099,0,43991.6995278114
"118","Summer",2008,"Beijing","China",8,"South Korea",13,10,8,31,"Korea, Rep.",931402204982,48949000,0,19028.0129314593
"119","Summer",2008,"Beijing","China",9,"Italy",8,9,10,27,"Italy",2307311493055,59832179,0,38563.0530530235
"120","Summer",2008,"Beijing","China",10,"Ukraine",7,5,15,27,"Ukraine",179992405832,46258200,0,3891.03782317513
"121","Summer",2008,"Beijing","China",11,"Japan",9,6,10,25,"Japan",4849208099924,127704040,0,37972.2372128869
"122","Summer",2008,"Beijing","China",12,"Cuba",2,11,11,24,"Cuba",60806200000,11296355,0,5382.81596143181
"123","Summer",2008,"Beijing","China",13,"Belarus",4,5,10,19,"Belarus",60763483146,9528000,0,6377.35969206549
"124","Summer",2008,"Beijing","China",14,"Spain",5,10,3,18,"Spain",1593420002197,45555716,0,34977.3890546907
"125","Summer",2008,"Beijing","China",15,"Canada",3,9,6,18,"Canada",1502678437547,33317662,0,45101.5571724991
"126","Summer",2008,"Beijing","China",16,"Netherlands",7,5,4,16,"Netherlands",870811147325,16445593,0,52951.0335884513
"127","Summer",2008,"Beijing","China",17,"Brazil",3,4,8,15,"Brazil",1653538618145,191765567,0,8622.70867504071
"128","Summer",2008,"Beijing","China",18,"Kenya",6,4,4,14,"Kenya",30465489796,38773277,0,785.734200284387
"129","Summer",2008,"Beijing","China",19,"Kazakhstan",2,4,7,13,"Kazakhstan",133441649222,15673999,0,8513.56754724815
"130","Summer",2008,"Beijing","China",20,"Jamaica",6,3,2,11,"Jamaica",13676837630,2687200,0,5089.62400640071
"131","Summer",2008,"Beijing","China",21,"Poland",3,6,1,10,"Poland",529432301179,38125759,0,13886.4724287587
"132","Summer",2008,"Beijing","China",22,"Hungary",3,5,2,10,"Hungary",154233541852,10038188,0,15364.6795469461
"133","Summer",2008,"Beijing","China",23,"Norway",3,5,1,9,"Norway",453885460993,4768212,0,95189.865927312
"134","Summer",2008,"Beijing","China",24,"New Zealand",3,2,4,9,"New Zealand",130672262113,4268900,0,30610.2888596594
"135","Summer",2008,"Beijing","China",25,"Romania",4,1,3,8,"Romania",204335225694,21513622,0,9497.94626372073
"136","Summer",2008,"Beijing","China",26,"Turkey",1,4,3,8,"Turkey",730337495966,70363511,0,10379.4919495419
"137","Summer",2008,"Beijing","China",27,"Ethiopia",4,1,2,7,"Ethiopia",25608626476,82621190,0,309.95228313705
"138","Summer",2008,"Beijing","China",28,"Denmark",2,2,3,7,"Denmark",343881383958,5493621,0,62596.4885378879
"139","Summer",2008,"Beijing","China",29,"Switzerland",2,1,4,7,"Switzerland",524289203562,7647675,0,68555.3718694897
"140","Summer",2008,"Beijing","China",30,"Azerbaijan",1,2,4,7,"Azerbaijan",48852482960,8763400,0,5574.60380217724
"141","Summer",2008,"Beijing","China",31,"Czech Republic",3,3,0,6,"Czech Republic",225448799063,10424336,0,21627.1615825699
"142","Summer",2008,"Beijing","China",32,"Slovakia",3,2,1,6,"Slovak Republic",97908891167,5406626,0,18109.0556600364
"143","Summer",2008,"Beijing","China",33,"Georgia",3,0,3,6,"Georgia",12799337250,4383800,0,2919.69005200967
"144","Summer",2008,"Beijing","China",34,"North Korea",2,1,3,6,"Korea, Dem. Rep.",0,24243894,0,0
"145","Summer",2008,"Beijing","China",35,"Argentina",2,0,4,6,"Argentina",326582808527,39676083,0,8231.22606450339
"146","Summer",2008,"Beijing","China",36,"Uzbekistan",1,2,3,6,"Uzbekistan",27934030937,27302800,0,1023.11964109908
"147","Summer",2008,"Beijing","China",37,"Armenia",0,0,6,6,"Armenia",11662017845,2977488,0,3916.73042678929
"148","Summer",2008,"Beijing","China",38,"Slovenia",1,2,2,5,"Slovenia",54606018255,2021316,0,27015.0823794993
"149","Summer",2008,"Beijing","China",39,"Indonesia",1,1,3,5,"Indonesia",510244548960,234243489,0,2178.26566338414
"150","Summer",2008,"Beijing","China",40,"Bulgaria",1,1,3,5,"Bulgaria",51824892678,7623395,0,6798.13818882532
"151","Summer",2008,"Beijing","China",41,"Sweden",0,4,1,5,"Sweden",486158607820,9219637,0,52730.77538953
"152","Summer",2008,"Beijing","China",42,"Croatia",0,2,3,5,"Croatia",69595272329,4434000,0,15695.8214544429
"153","Summer",2008,"Beijing","China",43,"Lithuania",0,2,3,5,"Lithuania",47252926429,3358115,0,14071.2651082527
"154","Summer",2008,"Beijing","China",44,"Thailand",2,2,0,4,"Thailand",272577799257,66185340,0,4118.40143537829
"155","Summer",2008,"Beijing","China",45,"Mongolia",2,2,0,4,"Mongolia",5623236708,2632834,0,2135.81133789673
"156","Summer",2008,"Beijing","China",46,"Zimbabwe",1,3,0,4,"Zimbabwe",4415702801,12784041,0,345.407434237734
"157","Summer",2008,"Beijing","China",47,"Finland",1,1,2,4,"Finland",271974219065,5313399,0,51186.4851604406
"158","Summer",2008,"Beijing","China",48,"Greece",0,2,2,4,"Greece",341593975533,11237094,0,30398.7824194583
"159","Summer",2008,"Beijing","China",49,"Nigeria",0,1,3,4,"Nigeria",208064724514,151208080,0,1376.01591471831
"160","Summer",2008,"Beijing","China",51,"Mexico",2,0,1,3,"Mexico",1099070673263,114968039,0,9559.79316358523
"161","Summer",2008,"Beijing","China",52,"Latvia",1,1,1,3,"Latvia",33669367720,2266094,0,14857.8866190017
"162","Summer",2008,"Beijing","China",53,"India",1,0,2,3,"India",1224095295077,1174662334,0,1042.08269870088
"163","Summer",2008,"Beijing","China",54,"Serbia",0,1,2,3,"Serbia",47760580366,7350221,0,6497.84276772086
"164","Summer",2008,"Beijing","China",55,"Ireland",0,1,2,3,"Ireland",264034092036,4425683,0,59659.5129013985
"165","Summer",2008,"Beijing","China",56,"Austria",0,1,2,3,"Austria",414171069689,8336926,0,49679.1107044731
"166","Summer",2008,"Beijing","China",57,"Portugal",1,1,0,2,"Portugal",251925293881,10622413,0,23716.3904172244
"167","Summer",2008,"Beijing","China",58,"Estonia",1,1,0,2,"Estonia",23781539699,1340675,0,17738.4822563261
"168","Summer",2008,"Beijing","China",59,"Belgium",1,1,0,2,"Belgium",507379060314,10709973,0,47374.4481254995
"169","Summer",2008,"Beijing","China",60,"Dominican Republic",1,1,0,2,"Dominican Republic",45796188394,9750195,0,4696.95102446669
"170","Summer",2008,"Beijing","China",61,"Iran",1,0,1,2,"Iran, Islamic Rep.",355988367222,72660887,0,4899.3121598144
"171","Summer",2008,"Beijing","China",62,"Trinidad and Tobago",0,2,0,2,"Trinidad and Tobago",28017710148,1316449,0,21282.7919258551
"172","Summer",2008,"Beijing","China",63,"Tajikistan",0,1,1,2,"Tajikistan",5161336170,7275252,0,709.437442166952
"173","Summer",2008,"Beijing","China",64,"Algeria",0,1,1,2,"Algeria",171000162581,35725377,0,4786.51807036214
"174","Summer",2008,"Beijing","China",65,"Colombia",0,1,1,2,"Colombia",244056736297,45153037,0,5405.10124041047
"175","Summer",2008,"Beijing","China",66,"Kyrgyzstan",0,1,1,2,"Kyrgyz Republic",5139957785,5318700,0,966.393627202136
"176","Summer",2008,"Beijing","China",67,"Bahamas",0,1,1,2,"Bahamas, The",8246650000,348340,0,23674.1402078429
"177","Summer",2008,"Beijing","China",68,"Morocco",0,1,1,2,"Morocco",88882967742,30955151,0,2871.34660535172
"178","Summer",2008,"Beijing","China",69,"Panama",1,0,0,1,"Panama",23001600000,3553480,0,6472.97860125848
"179","Summer",2008,"Beijing","China",70,"Cameroon",1,0,0,1,"Cameroon",23735537026,19595026,0,1211.30418637873
"180","Summer",2008,"Beijing","China",71,"Tunisia",1,0,0,1,"Tunisia",44736953169,10328900,0,4331.24080676548
"181","Summer",2008,"Beijing","China",72,"Vietnam",0,1,0,1,"Vietnam",99130304099,85122300,0,1164.56327071754
"182","Summer",2008,"Beijing","China",73,"Sudan",0,1,0,1,"Sudan",54082389393,34040065,0,1588.78631380404
"183","Summer",2008,"Beijing","China",74,"Ecuador",0,1,0,1,"Ecuador",61762635000,14512402,0,4255.85199472837
"184","Summer",2008,"Beijing","China",75,"South Africa",0,1,0,1,"South Africa",273141750193,48793022,0,5597.96747561567
"185","Summer",2008,"Beijing","China",76,"Malaysia",0,1,0,1,"Malaysia",230987618904,27302348,0,8460.35728883098
"186","Summer",2008,"Beijing","China",77,"Iceland",0,1,0,1,"Iceland",16832079677,317414,0,53028.7878827021
"187","Summer",2008,"Beijing","China",78,"Chile",0,1,0,1,"Chile",179626662207,16831184,0,10672.2534913171
"188","Summer",2008,"Beijing","China",79,"Singapore",0,1,0,1,"Singapore",178924164930,4839400,0,36972.3860251271
"189","Summer",2008,"Beijing","China",80,"Egypt",0,0,1,1,"Egypt, Arab Rep.",162818181818,75491922,0,2156.7629688644
"190","Summer",2008,"Beijing","China",81,"Israel",0,0,1,1,"Israel",201661649944,7308800,0,27591.6224200963
"191","Summer",2008,"Beijing","China",82,"Afghanistan",0,0,1,1,"Afghanistan",10190534636,27032197,0,376.977669850512
"192","Summer",2008,"Beijing","China",83,"Venezuela",0,0,1,1,"Venezuela, RB",315600203540,28120312,0,11223.2113050524
"193","Summer",2008,"Beijing","China",84,"Mauritius",0,0,1,1,"Mauritius",9641077098,1268565,0,7599.98667628383
"194","Summer",2008,"Beijing","China",85,"Moldova",0,0,1,1,"Moldova",6054806101,3570107,0,1695.97328623484
"195","Summer",2008,"Beijing","China",86,"Togo",0,0,1,1,"Togo",3159544509,5987491,0,527.69089907609
"196","Winter",2006,"Torino","Italy",1,"Germany",11,12,6,29,"Germany",2902748698160,82376451,1,35237.6032582418
"197","Winter",2006,"Torino","Italy",2,"United States",9,9,7,25,"United States",1.38579e+13,298379912,1,46443.81019859
"198","Winter",2006,"Torino","Italy",3,"Canada",7,10,7,24,"Canada",1278610846645,32576074,1,39249.9982240033
"199","Winter",2006,"Torino","Italy",4,"Austria",9,7,7,23,"Austria",324954402044,8268641,1,39299.6142950214
"200","Winter",2006,"Torino","Italy",5,"Russia",8,6,8,22,"Russian Federation",989930542279,142500000,1,6946.88099844912
"201","Winter",2006,"Torino","Italy",6,"Norway",2,8,9,19,"Norway",340041912704,4660677,1,72959.768013102
"202","Winter",2006,"Torino","Italy",7,"Sweden",7,2,5,14,"Sweden",399075661573,9080505,1,43948.6197709268
"203","Winter",2006,"Torino","Italy",8,"Switzerland",5,4,5,14,"Switzerland",405183914853,7483934,1,54140.4981461622
"204","Winter",2006,"Torino","Italy",9,"South Korea",6,3,2,11,"Korea, Rep.",951773478985,48372000,1,19676.1241831018
"205","Winter",2006,"Torino","Italy",10,"Italy",5,0,6,11,"Italy",1872982702430,58941499,1,31776.9777526357
"206","Winter",2006,"Torino","Italy",11,"China",2,4,5,11,"China",2712950886698,1311020000,1,2069.34363068298
"207","Winter",2006,"Torino","Italy",12,"France",3,2,4,9,"France",2255705477450,63617975,1,35457.0461799515
"208","Winter",2006,"Torino","Italy",13,"Netherlands",3,2,4,9,"Netherlands",677691901433,16346101,1,41458.9327101919
"209","Winter",2006,"Torino","Italy",14,"Finland",0,6,3,9,"Finland",207949409201,5266268,1,39487.0540582059
"210","Winter",2006,"Torino","Italy",15,"Czech Republic",1,2,1,4,"Czech Republic",148345088496,10269134,1,14445.7252671939
"211","Winter",2006,"Torino","Italy",16,"Estonia",3,0,0,3,"Estonia",16798495348,1343547,1,12503.0946799777
"212","Winter",2006,"Torino","Italy",17,"Croatia",1,2,0,3,"Croatia",49855078905,4440000,1,11228.621375
"213","Winter",2006,"Torino","Italy",18,"Australia",1,0,1,2,"Australia",747463312369,20697900,1,36113.0023997121
"214","Winter",2006,"Torino","Italy",19,"Poland",0,1,1,2,"Poland",341669943594,38141267,1,8958.01242245047
"215","Winter",2006,"Torino","Italy",20,"Ukraine",0,0,2,2,"Ukraine",107753069307,46787750,1,2303.01883093331
"216","Winter",2006,"Torino","Italy",21,"Japan",1,0,0,1,"Japan",4356761451087,127756000,1,34102.2061671233
"217","Winter",2006,"Torino","Italy",22,"Great Britain",0,1,0,1,"United Kingdom",2483008793219,60595632,1,40976.6960301528
"218","Winter",2006,"Torino","Italy",23,"Slovakia",0,1,0,1,"Slovak Republic",69002095095,5391409,1,12798.5272671764
"219","Winter",2006,"Torino","Italy",24,"Bulgaria",0,1,0,1,"Bulgaria",33209188739,7699020,1,4313.43063649659
"220","Winter",2006,"Torino","Italy",25,"Belarus",0,1,0,1,"Belarus",36961918859,9604000,1,3848.59629935444
"221","Winter",2006,"Torino","Italy",26,"Latvia",0,0,1,1,"Latvia",19935046397,2287948,1,8713.0679530304
"222","Summer",2004,"Athina","Greece",1,"United States",36,39,26,101,"United States",1.2277e+13,292805298,0,41928.8861364797
"223","Summer",2004,"Athina","Greece",2,"Russia",28,26,36,90,"Russian Federation",591016690743,143849574,0,4108.57449423521
"224","Summer",2004,"Athina","Greece",3,"China",32,17,14,63,"China",1931644331142,1296075000,0,1490.38005604768
"225","Summer",2004,"Athina","Greece",4,"Australia",17,16,17,50,"Australia",613161189358,20127400,0,30464.0037639238
"226","Summer",2004,"Athina","Greece",5,"Germany",13,16,20,49,"Germany",2726341472500,82516260,0,33040.0514092616
"227","Summer",2004,"Athina","Greece",6,"Japan",16,9,12,37,"Japan",4655803055651,127761000,0,36441.5044939457
"228","Summer",2004,"Athina","Greece",7,"France",11,9,13,33,"France",2055678853687,62702121,0,32784.8375924476
"229","Summer",2004,"Athina","Greece",8,"Italy",10,11,11,32,"Italy",1735521503772,58175310,0,29832.6129035153
