Year,YearCode,Country Name,Country Code,GDP,Pop,olympiccountry,GameType,Year,locCity,locCountry,Rank,Gold,Silver,Bronze,Total,Participant,ParticMedalCheck,TotalAdj,AvgAnnualTemp,NumEvents,NumMedals
1960,YR1960,Ghana,GHA,1217790385,6652516,Ghana,Summer,1960,Roma,Italy,35,0,1,0,1,1,0,1,27.25177926,19,301
1960,YR1960,Greece,GRC,4446528165,8331725,Greece,Summer,1960,Roma,Italy,32,1,0,0,1,1,0,1,13.65550198,19,301
1960,YR1960,Greenland,GRL,,32500,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Grenada,GRD,,89861,Grenada,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Guam,GUM,,66741,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Guatemala,GTM,1043599936,4140636,Guatemala,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,23.07117961,19,301
1960,YR1960,Guinea,GIN,,3576684,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.5476409,19,301
1960,YR1960,Guinea-Bissau,GNB,,635956,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.60800037,19,301
1960,YR1960,Guyana,GUY,170216239,560296,Guyana,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,25.79536357,19,301
1960,YR1960,Haiti,HTI,,3869288,Haiti,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,24.47507682,19,301
1960,YR1960,Honduras,HND,335649984,2002333,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,23.38608334,19,301
1960,YR1960,"Hong Kong SAR, China",HKG,1320799747,3075605,Hong Kong,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,,19,301
1960,YR1960,Hungary,HUN,,9983967,Hungary,Summer,1960,Roma,Italy,6,6,8,7,21,1,0,21,10.06144773,19,301
1960,YR1960,Iceland,ISL,248434097,175574,Iceland,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,1.351408623,19,301
1960,YR1960,India,IND,37679274491,449595489,India,Summer,1960,Roma,Italy,37,0,1,0,1,1,0,1,23.94543419,19,301
1960,YR1960,Indonesia,IDN,,88692697,Indonesia,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,25.71897008,19,301
1960,YR1960,"Iran, Islamic Rep.",IRN,,21958460,Iran,Summer,1960,Roma,Italy,20,0,1,3,4,1,0,4,16.92655784,19,301
1960,YR1960,Iraq,IRQ,1683918720,7289759,Iraq,Summer,1960,Roma,Italy,41,0,0,1,1,1,0,1,21.57999357,19,301
1960,YR1960,Ireland,IRL,1939329775,2828600,Ireland,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,9.107924359,19,301
1960,YR1960,Isle of Man,IMY,,48441,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Israel,ISR,2887081901,2114020,Israel,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,19.69800023,19,301
1960,YR1960,Italy,ITA,40385288344,50199700,Italy,Summer,1960,Roma,Italy,4,13,10,13,36,1,0,36,11.5006943,19,301
1960,YR1960,Jamaica,JAM,699064357,1629003,Jamaica,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,24.46899986,19,301
1960,YR1960,Japan,JPN,44307342950,92500572,Japan,Summer,1960,Roma,Italy,9,4,7,7,18,1,0,18,10.36272594,19,301
1960,YR1960,Jordan,JOR,,844000,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,18.35282849,19,301
1960,YR1960,Kazakhstan,KAZ,,9995997,Kazakhstan,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,5.987870514,19,301
1960,YR1960,Kenya,KEN,791265454,8105440,Kenya,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,24.49946529,19,301
1960,YR1960,Kiribati,KIR,,32970,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,"Korea, Dem. Rep.",PRK,,11424179,North Korea,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,4.856629418,19,301
1960,YR1960,"Korea, Rep.",KOR,3891849048,25074152,South Korea,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,10.65980231,19,301
1960,YR1960,Kosovo,KSV,,947000,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,8.424016637,19,301
1960,YR1960,Kuwait,KWT,,261994,Kuwait,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.15349984,19,301
1960,YR1960,Kyrgyz Republic,KGZ,,2172300,Kyrgyzstan,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,1.093056123,19,301
1960,YR1960,Lao PDR,LAO,,2119731,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,23.21746666,19,301
1960,YR1960,Latvia,LVA,,2120979,Latvia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,5.626625729,19,301
1960,YR1960,Lebanon,LBN,,1804927,Lebanon,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,15.61349988,19,301
1960,YR1960,Lesotho,LSO,34579986,851412,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,11.97447515,19,301
1960,YR1960,Liberia,LBR,190495648,1120314,,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,25.2524195,19,301
1960,YR1960,Libya,LBY,,1428435,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,21.89996952,19,301
1960,YR1960,Liechtenstein,LIE,,16504,Liechtenstein,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,,19,301
1960,YR1960,Lithuania,LTU,,2778550,Lithuania,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,6.244905105,19,301
1960,YR1960,Luxembourg,LUX,703925706,313970,Luxembourg,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,8.88189983,19,301
1960,YR1960,"Macao SAR, China",MAC,,171456,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,"Macedonia, FYR",MKD,,1471139,Yugoslavia,Summer,1960,Roma,Italy,24,1,1,0,2,0,1,0,9.853518182,19,301
1960,YR1960,Madagascar,MDG,673081725,5099371,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,22.01356848,19,301
1960,YR1960,Malawi,MWI,162960130,3525127,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,21.97876318,19,301
1960,YR1960,Malaysia,MYS,2441020462,8160975,Malaysia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.13883809,19,301
1960,YR1960,Maldives,MDV,,88960,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Mali,MLI,,5098942,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,28.29987354,19,301
1960,YR1960,Malta,MLT,,326550,,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,,19,301
1960,YR1960,Marshall Islands,MHL,,14665,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Mauritania,MRT,92609222,858316,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,27.69289724,19,301
1960,YR1960,Mauritius,MUS,,659351,Mauritius,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,23.12700081,19,301
1960,YR1960,Mexico,MEX,13056164925,38676974,Mexico,Summer,1960,Roma,Italy,44,0,0,1,1,1,0,1,20.54469315,19,301
1960,YR1960,"Micronesia, Fed. Sts.",FSM,,44539,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Moldova,MDA,,2544000,Moldova,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,9.667174936,19,301
1960,YR1960,Monaco,MCO,,22454,Monaco,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,,19,301
1960,YR1960,Mongolia,MNG,,955508,Mongolia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,-0.49904369,19,301
1960,YR1960,Montenegro,MNE,,479099,Montenegro,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,7.906949917,19,301
1960,YR1960,Morocco,MAR,2037154692,12328534,Morocco,Summer,1960,Roma,Italy,38,0,1,0,1,1,0,1,17.2250961,19,301
1960,YR1960,Mozambique,MOZ,,7647284,Mozambique,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,23.68935959,19,301
1960,YR1960,Myanmar,MMR,,21486424,,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,22.95692088,19,301
1960,YR1960,Namibia,NAM,,602545,Namibia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,20.03803485,19,301
1960,YR1960,Nepal,NPL,508334421,9544938,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,12.74394041,19,301
1960,YR1960,Netherlands,NLD,12276734172,11486631,Netherlands,Summer,1960,Roma,Italy,22,0,1,2,3,1,0,3,9.201737643,19,301
1960,YR1960,New Caledonia,NCL,,79000,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,21.96499983,19,301
1960,YR1960,New Zealand,NZL,5485854792,2371800,New Zealand,Summer,1960,Roma,Italy,21,2,0,1,3,1,0,3,9.975832156,19,301
1960,YR1960,Nicaragua,NIC,227223322,1774574,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,24.58878273,19,301
1960,YR1960,Niger,NER,449526873,3337141,Niger,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,27.23872952,19,301
1960,YR1960,Nigeria,NGA,4196174380,45211614,Nigeria,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,26.78221455,19,301
1960,YR1960,Northern Mariana Islands,MNP,,10070,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Norway,NOR,5163271598,3581239,Norway,Summer,1960,Roma,Italy,31,1,0,0,1,1,0,1,0.753892466,19,301
1960,YR1960,Oman,OMN,44234654,551737,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.45410276,19,301
1960,YR1960,Pakistan,PAK,3707055834,45540594,Pakistan,Summer,1960,Roma,Italy,26,1,0,1,2,1,0,2,19.9810149,19,301
1960,YR1960,Palau,PLW,,9638,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Panama,PAN,415800032,1136090,Panama,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,24.72233335,19,301
1960,YR1960,Papua New Guinea,PNG,230496033,1966957,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.053585,19,301
1960,YR1960,Paraguay,PRY,,1907041,Paraguay,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,23.48019004,19,301
