"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"1337",1984,"YR1984","Denmark","DNK",57714597455,5111619,"Denmark","Summer",1984,"Los Angeles","United States",20,0,3,3,6,1,0,6,7.818978497,27,610,15.4470267417455,24.7787759672857,9.33174922554014,5,8,-1.70605453589326
"1551",1988,"YR1988","Denmark","DNK",113230780658,5129516,"Denmark","Summer",1988,"Seoul","South Korea",25,2,1,1,4,1,0,4,7.818978497,30,444,15.4505218657174,25.4526938796935,10.0021720139761,6,5,-0.661993968863584
"1765",1992,"YR1992","Denmark","DNK",150195490466,5171370,"Denmark","Summer",1992,"Barcelona","Spain",26,1,1,4,6,1,0,6,7.818978497,32,692,15.4586482017097,25.7352035522971,10.2765553505874,4,6,0.440558812738469
"1979",1996,"YR1996","Denmark","DNK",184435821822,5263074,"Denmark","Summer",1996,"Atlanta","United States",29,4,1,1,6,1,0,6,7.818978497,31,837,15.4762258246589,25.9405673907102,10.4643415660513,6,7,-0.78070933773526
"2193",2000,"YR2000","Denmark","DNK",160082517846,5339616,"Denmark","Summer",2000,"Sydney","Australia",31,2,3,1,6,1,0,6,7.818978497,34,918,15.4906642982384,25.7989552557714,10.308290957533,6,7,-1.16087459918328
"2407",2004,"YR2004","Denmark","DNK",244727978021,5404523,"Denmark","Summer",2004,"Athina","Greece",26,2,1,5,8,1,0,8,7.818978497,34,920,15.5027467535422,26.2234131368665,10.7206663833244,6,7,1.22792719308384
"2621",2008,"YR2008","Denmark","DNK",343881383958,5493621,"Denmark","Summer",2008,"Beijing","China",28,2,2,3,7,1,0,7,7.818978497,35,954,15.5190981589113,26.5635626207822,11.0444644618709,8,9,-1.73867226257304
"2835",2012,"YR2012","Denmark","DNK",314887354338,5590478,"Denmark","Summer",2012,"London","Great Britain",28,2,4,3,9,1,0,9,7.818978497,32,960,15.5365753513145,26.4754808065398,10.9389054552253,7,8,1.38278911954661
"1552",1988,"YR1988","Djibouti","DJI",395794554,524393,"Djibouti","Summer",1988,"Seoul","South Korea",51,0,0,1,1,1,0,1,27.64300019,30,444,13.1699966821937,19.7964058315636,6.62640914936987,0,0,3.70527027107265
"1766",1992,"YR1992","Djibouti","DJI",478058324,629373,"Djibouti","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,27.64300019,32,692,13.3524793646942,19.9852432997487,6.63276393505449,1,1,-0.969174209356231
"1980",1996,"YR1996","Djibouti","DJI",494004667,675891,"Djibouti","Summer",1996,"Atlanta","United States",0,0,0,0,0,1,0,0,27.64300019,31,837,13.4237870994206,20.018055522476,6.59426842305543,0,0,0.666597687577948
"2194",2000,"YR2000","Djibouti","DJI",551230862,722887,"Djibouti","Summer",2000,"Sydney","Australia",0,0,0,0,0,1,0,0,27.64300019,34,918,13.4910081957032,20.1276642666623,6.63665607095919,0,0,0.208724697840797
"484",1968,"YR1968","Dominican Republic","DOM",1079100032,4271065,"Dominican Republic","Summer",1968,"Ciudad de Mexico","Mexico",0,0,0,0,0,1,0,0,23.92974985,22,363,15.2673737686261,20.7993932269883,5.53201945836222,0,0,-0.0569120652173506
"698",1972,"YR1972","Dominican Republic","DOM",1987299968,4780283,"Dominican Republic","Summer",1972,"Munchen","West Germany",0,0,0,0,0,1,0,0,23.92974985,25,382,15.380010307736,21.4100427543963,6.03003244666025,0,0,-0.00937980328407555
"912",1976,"YR1976","Dominican Republic","DOM",3951399936,5298530,"Dominican Republic","Summer",1976,"Montreal","Canada",0,0,0,0,0,1,0,0,23.92974985,23,343,15.4829399815608,22.0973357672468,6.61439578568598,0,0,0.564440620862591
"1126",1980,"YR1980","Dominican Republic","DOM",6631000064,5825715,"Dominican Republic","Summer",1980,"Moskva","Soviet Union",0,0,0,0,0,1,0,0,23.92974985,23,287,15.5777922966644,22.6150214689848,7.03722917232039,0,1,-1.07404831672677
"1340",1984,"YR1984","Dominican Republic","DOM",10330399744,6381602,"Dominican Republic","Summer",1984,"Los Angeles","United States",45,0,0,1,1,1,0,1,23.92974985,27,610,15.66892972098,23.0583568167155,7.38942709573545,0,3,-1.50463497028725
"1554",1988,"YR1988","Dominican Republic","DOM",5374300248,6953918,"Dominican Republic","Summer",1988,"Seoul","South Korea",0,0,0,0,0,1,0,0,23.92974985,30,444,15.7548157997059,22.4048942160665,6.65007841636064,1,0,0.947078558459098
"1768",1992,"YR1992","Dominican Republic","DOM",11277694537,7540421,"Dominican Republic","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,23.92974985,32,692,15.8357885739692,23.1460926771091,7.31030410313997,0,1,-1.02685838481836
"1982",1996,"YR1996","Dominican Republic","DOM",18131813001,8118570,"Dominican Republic","Summer",1996,"Atlanta","United States",0,0,0,0,0,1,0,0,23.92974985,31,837,15.9096645882546,23.6209338567687,7.71126926851408,0,0,-0.461880891682984
"2196",2000,"YR2000","Dominican Republic","DOM",23996656676,8663421,"Dominican Republic","Summer",2000,"Sydney","Australia",0,0,0,0,0,1,0,0,23.92974985,34,918,15.974620237175,23.9011803524238,7.92656011524882,0,1,-0.97222617729318
"2410",2004,"YR2004","Dominican Republic","DOM",22163928097,9207389,"Dominican Republic","Summer",2004,"Athina","Greece",65,1,0,0,1,1,0,1,23.92974985,34,920,16.0355168718391,23.8217319438116,7.78621507197256,0,0,0.571188345449786
"2624",2008,"YR2008","Dominican Republic","DOM",45796188394,9750195,"Dominican Republic","Summer",2008,"Beijing","China",60,1,1,0,2,1,0,2,23.92974985,35,954,16.092797842774,24.5474667017649,8.45466885899088,1,2,0.420443850533418
"2838",2012,"YR2012","Dominican Republic","DOM",59047202158,10276621,"Dominican Republic","Summer",2012,"London","Great Britain",55,1,1,0,2,1,0,2,23.92974985,32,960,16.1453820674607,24.8016029975697,8.65622093010902,2,2,-0.433248965185778
"699",1972,"YR1972","Ecuador","ECU",3185987235,6376333,"Ecuador","Summer",1972,"Munchen","West Germany",0,0,0,0,0,1,0,0,21.32904646,25,382,15.66810372519,21.8820280418349,6.21392431664487,0,0,-0.156908147112589
"913",1976,"YR1976","Ecuador","ECU",9091924305,7119087,"Ecuador","Summer",1976,"Montreal","Canada",0,0,0,0,0,1,0,0,21.32904646,23,343,15.7782900448289,22.9306524174511,7.15236237262224,0,0,0.305702517159769
"1127",1980,"YR1980","Ecuador","ECU",17881514683,7909432,"Ecuador","Summer",1980,"Moskva","Soviet Union",0,0,0,0,0,1,0,0,21.32904646,23,287,15.8835665293274,23.6070333169181,7.72346678759073,0,1,-1.38168802391613
"1341",1984,"YR1984","Ecuador","ECU",16912515183,8742761,"Ecuador","Summer",1984,"Los Angeles","United States",0,0,0,0,0,1,0,0,21.32904646,27,610,15.9837366016348,23.5513197281813,7.56758312654652,0,3,-2.65883319772041
