"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"2924",2012,"Nigeria",0,5,-4.78461803116416,0,0,0,"London"
"358",1964,"Norway",0,2,-1.88638416998181,0,0,0,"Tokyo"
"572",1968,"Norway",2,1,1.25422939148115,1,1,0,"Ciudad de Mexico"
"786",1972,"Norway",4,3,1.45838016302713,2,1,1,"Munchen"
"1000",1976,"Norway",2,4,-1.84853805059712,1,1,0,"Montreal"
"1428",1984,"Norway",3,5,-1.91747389317835,0,1,2,"Los Angeles"
"1642",1988,"Norway",5,2,3.18205551039061,2,3,0,"Seoul"
"1856",1992,"Norway",7,6,0.555755738893759,2,4,1,"Barcelona"
"2070",1996,"Norway",7,8,-0.670603368925012,2,2,3,"Atlanta"
"2284",2000,"Norway",10,8,1.8903537330192,4,3,3,"Sydney"
"2498",2004,"Norway",6,11,-4.52860149972479,5,0,1,"Athina"
"2712",2008,"Norway",9,7,2.04669735062274,3,5,1,"Beijing"
"2926",2012,"Norway",4,10,-5.62796728065797,2,1,1,"London"
"1643",1988,"Oman",0,0,1.75652733650914,0,0,0,"Seoul"
"1857",1992,"Oman",0,1,-1.04642137152416,0,0,0,"Barcelona"
"2071",1996,"Oman",0,0,-0.398507259076125,0,0,0,"Atlanta"
"2285",2000,"Oman",0,1,-0.902990981057074,0,0,0,"Sydney"
"2499",2004,"Oman",0,0,-0.451107636008962,0,0,0,"Athina"
"2713",2008,"Oman",0,1,-0.720000257494427,0,0,0,"Beijing"
"360",1964,"Pakistan",1,3,-1.73989605541719,0,1,0,"Tokyo"
"574",1968,"Pakistan",1,2,-0.632306834089551,1,0,0,"Ciudad de Mexico"
"788",1972,"Pakistan",1,1,-0.440075114206931,0,1,0,"Munchen"
"1002",1976,"Pakistan",1,1,0.234418720953938,0,0,1,"Montreal"
"1430",1984,"Pakistan",1,4,-2.80060348840454,1,0,0,"Los Angeles"
"1644",1988,"Pakistan",1,0,1.31958879077206,0,0,1,"Seoul"
"1858",1992,"Pakistan",1,2,-1.43352153204537,0,0,1,"Barcelona"
"2072",1996,"Pakistan",0,2,-1.80388235994131,0,0,0,"Atlanta"
"2286",2000,"Pakistan",0,1,-1.34125619934406,0,0,0,"Sydney"
"2500",2004,"Pakistan",0,1,-0.908939752497502,0,0,0,"Athina"
"2714",2008,"Pakistan",0,1,-1.07142570524472,0,0,0,"Beijing"
"2928",2012,"Pakistan",0,1,-0.998566876466528,0,0,0,"London"
"362",1964,"Panama",0,0,-0.180748513488906,0,0,0,"Tokyo"
"576",1968,"Panama",0,0,0.0212250149048347,0,0,0,"Ciudad de Mexico"
"790",1972,"Panama",0,0,0.139598865482824,0,0,0,"Munchen"
"1004",1976,"Panama",0,0,0.788989139939872,0,0,0,"Montreal"
"1432",1984,"Panama",0,2,-2.27917937700556,0,0,0,"Los Angeles"
"1646",1988,"Panama",0,0,1.92059539826559,0,0,0,"Seoul"
"1860",1992,"Panama",0,1,-0.855306811038512,0,0,0,"Barcelona"
"2074",1996,"Panama",0,0,-0.248631143776359,0,0,0,"Atlanta"
"2288",2000,"Panama",0,1,-0.740699243224049,0,0,0,"Sydney"
"2502",2004,"Panama",0,0,-0.28308394524785,0,0,0,"Athina"
"2716",2008,"Panama",1,0,0.575271587343426,1,0,0,"Beijing"
"2930",2012,"Panama",0,1,-1.34031530624191,0,0,0,"London"
"1433",1984,"Papua New Guinea",0,2,-2.06990308372543,0,0,0,"Los Angeles"
"1647",1988,"Papua New Guinea",0,0,2.00496069845696,0,0,0,"Seoul"
"1861",1992,"Papua New Guinea",0,1,-0.73135135311511,0,0,0,"Barcelona"
"2075",1996,"Papua New Guinea",0,0,-0.0708253389255161,0,0,0,"Atlanta"
"2289",2000,"Papua New Guinea",0,0,-0.378023073566084,0,0,0,"Sydney"
"2503",2004,"Papua New Guinea",0,0,0.107080964548803,0,0,0,"Athina"
"2717",2008,"Papua New Guinea",0,0,-0.105213644605004,0,0,0,"Beijing"
"2931",2012,"Papua New Guinea",0,0,-0.152331387879343,0,0,0,"London"
"792",1972,"Paraguay",0,0,0.317709830173286,0,0,0,"Munchen"
"1006",1976,"Paraguay",0,0,0.859097625536799,0,0,0,"Montreal"
"1434",1984,"Paraguay",0,2,-2.21324399873892,0,0,0,"Los Angeles"
"1648",1988,"Paraguay",0,0,1.97086732505625,0,0,0,"Seoul"
"1862",1992,"Paraguay",0,1,-0.882750061506712,0,0,0,"Barcelona"
"2076",1996,"Paraguay",0,0,-0.268165854414274,0,0,0,"Atlanta"
"2290",2000,"Paraguay",0,1,-0.637852615784744,0,0,0,"Sydney"
"2504",2004,"Paraguay",1,0,0.887116433799181,0,1,0,"Athina"
"2718",2008,"Paraguay",0,1,-1.29717576077299,0,0,0,"Beijing"
"2932",2012,"Paraguay",0,0,-0.301896685206015,0,0,0,"London"
"365",1964,"Peru",0,1,-0.799508936696971,0,0,0,"Tokyo"
"579",1968,"Peru",0,1,-0.571264200331623,0,0,0,"Ciudad de Mexico"
"793",1972,"Peru",0,0,-0.480851654999499,0,0,0,"Munchen"
"1007",1976,"Peru",0,0,0.134860107913304,0,0,0,"Montreal"
"1221",1980,"Peru",0,1,-1.43250246089419,0,0,0,"Moskva"
"1435",1984,"Peru",1,3,-1.71436405253752,0,1,0,"Los Angeles"
"1649",1988,"Peru",1,0,1.68157347154416,0,1,0,"Seoul"
"1863",1992,"Peru",1,2,-1.32834890933929,0,1,0,"Barcelona"
"2077",1996,"Peru",0,2,-1.75181244849466,0,0,0,"Atlanta"
"2291",2000,"Peru",0,1,-1.22657547611592,0,0,0,"Sydney"
"2505",2004,"Peru",0,1,-0.790220751530657,0,0,0,"Athina"
"2719",2008,"Peru",0,1,-0.973348198943952,0,0,0,"Beijing"
"2933",2012,"Peru",0,1,-0.953403759590172,0,0,0,"London"
"366",1964,"Philippines",1,1,0.125586952722862,0,1,0,"Tokyo"
"580",1968,"Philippines",0,2,-1.60863324949566,0,0,0,"Ciudad de Mexico"
"794",1972,"Philippines",0,0,-0.455266324334359,0,0,0,"Munchen"
"1008",1976,"Philippines",0,0,0.0969296210445787,0,0,0,"Montreal"
"1436",1984,"Philippines",0,3,-2.86386356104093,0,0,0,"Los Angeles"
"1650",1988,"Philippines",1,0,2.26378479365614,0,0,1,"Seoul"
"1864",1992,"Philippines",1,2,-1.4550295753496,0,0,1,"Barcelona"
"2078",1996,"Philippines",1,2,-0.881676770502544,0,1,0,"Atlanta"
"2292",2000,"Philippines",0,2,-2.29915252164725,0,0,0,"Sydney"
"2506",2004,"Philippines",0,1,-0.882506520057176,0,0,0,"Athina"
"2720",2008,"Philippines",0,1,-1.07275026858618,0,0,0,"Beijing"
"2934",2012,"Philippines",0,1,-1.02599992915302,0,0,0,"London"
"1651",1988,"Poland",16,29,-12.8298312231329,2,5,9,"Seoul"
"1865",1992,"Poland",19,17,2.35649573488835,3,6,10,"Barcelona"
"2079",1996,"Poland",17,19,-1.89911314030859,7,5,5,"Atlanta"
"2293",2000,"Poland",14,17,-3.48048101279977,6,5,3,"Sydney"
"2507",2004,"Poland",10,14,-4.27628066689522,3,2,5,"Athina"
"2721",2008,"Poland",10,11,-0.756735348855733,3,6,1,"Beijing"
"2935",2012,"Poland",10,11,-0.573176819411179,2,2,6,"London"
"368",1964,"Portugal",0,2,-1.73218610829031,0,0,0,"Tokyo"
"582",1968,"Portugal",0,1,-0.608214600161322,0,0,0,"Ciudad de Mexico"
"796",1972,"Portugal",0,1,-0.543025043115877,0,0,0,"Munchen"
"1010",1976,"Portugal",2,0,2.06003196013294,0,2,0,"Montreal"
"1224",1980,"Portugal",0,3,-3.43638833696331,0,0,0,"Moskva"
"1438",1984,"Portugal",3,3,0.221317414604299,1,0,2,"Los Angeles"
"1652",1988,"Portugal",1,2,-0.64421845836542,1,0,0,"Seoul"
"1866",1992,"Portugal",0,3,-2.65362467999398,0,0,0,"Barcelona"
"2080",1996,"Portugal",2,1,0.952096511155714,1,0,1,"Atlanta"
"2294",2000,"Portugal",2,3,-1.33129808847091,0,0,2,"Sydney"
"2508",2004,"Portugal",3,3,0.0471380486580243,0,2,1,"Athina"
"2722",2008,"Portugal",2,4,-1.97431167179648,1,1,0,"Beijing"
"2936",2012,"Portugal",1,3,-1.82704969958574,0,1,0,"London"
"369",1964,"Puerto Rico",0,1,-0.633487581371757,0,0,0,"Tokyo"
"583",1968,"Puerto Rico",0,0,-0.455091803059022,0,0,0,"Ciudad de Mexico"
"797",1972,"Puerto Rico",0,0,-0.361417813902372,0,0,0,"Munchen"
"1011",1976,"Puerto Rico",1,0,1.31678730888351,0,0,1,"Montreal"
"1225",1980,"Puerto Rico",0,2,-2.24331363706286,0,0,0,"Moskva"
"1439",1984,"Puerto Rico",2,3,-0.689461401113061,0,1,1,"Los Angeles"
"1653",1988,"Puerto Rico",0,0,-0.469129958375015,0,0,0,"Seoul"
"1867",1992,"Puerto Rico",1,1,-0.365933938484441,0,0,1,"Barcelona"
"2081",1996,"Puerto Rico",1,2,-0.672296859154536,0,0,1,"Atlanta"
"2295",2000,"Puerto Rico",0,2,-2.19086961789865,0,0,0,"Sydney"
"2509",2004,"Puerto Rico",0,1,-0.813469936252449,0,0,0,"Athina"
"2723",2008,"Puerto Rico",0,1,-0.85363065220207,0,0,0,"Beijing"
"2937",2012,"Puerto Rico",2,1,1.27808533768746,0,1,1,"London"
"1654",1988,"Qatar",0,0,1.86836036090368,0,0,0,"Seoul"
"1868",1992,"Qatar",1,1,0.114885975345826,0,0,1,"Barcelona"
"2082",1996,"Qatar",0,1,-1.16080768108013,0,0,0,"Atlanta"
"2296",2000,"Qatar",1,1,0.142117309160209,0,0,1,"Sydney"
"2510",2004,"Qatar",0,1,-1.45276641455794,0,0,0,"Athina"
"2724",2008,"Qatar",0,1,-0.91204465337608,0,0,0,"Beijing"
"2298",2000,"Russian Federation",89,61,28.3798659188634,32,28,29,"Sydney"
"2512",2004,"Russian Federation",90,85,5.3417534752213,28,26,36,"Athina"
"2726",2008,"Russian Federation",73,86,-12.9030107452093,23,21,29,"Beijing"
"2940",2012,"Russian Federation",82,70,12.0887651164972,24,26,32,"London"
"1657",1988,"Rwanda",0,0,2.13033579210761,0,0,0,"Seoul"
"1871",1992,"Rwanda",0,0,-0.49806672634446,0,0,0,"Barcelona"
"2085",1996,"Rwanda",0,0,0.332437487690704,0,0,0,"Atlanta"
"2299",2000,"Rwanda",0,0,-0.163884948218796,0,0,0,"Sydney"
