Time_Value,Time_ValueCode,Country_Name,Country_Code,"Population, total"
1960,YR1960,Somalia,SOM,2756380
1960,YR1960,South Africa,ZAF,17396000
1960,YR1960,South Asia,SAS,573201723
1960,YR1960,South Sudan,SSD,2955044
1960,YR1960,Spain,ESP,30455000
1960,YR1960,Sri Lanka,LKA,9896000
1960,YR1960,St. Kitts and Nevis,KNA,51197
1960,YR1960,St. Lucia,LCA,89901
1960,YR1960,St. Martin (French part),MAF,4279
1960,YR1960,St. Vincent and the Grenadines,VCT,80948
1960,YR1960,Sub-Saharan Africa (all income levels),SSF,227841022
1960,YR1960,Sub-Saharan Africa (developing only),SSA,227588907
1960,YR1960,Sudan,SDN,7527450
1960,YR1960,Suriname,SUR,290137
1960,YR1960,Swaziland,SWZ,349233
1960,YR1960,Sweden,SWE,7484656
1960,YR1960,Switzerland,CHE,5327827
1960,YR1960,Syrian Arab Republic,SYR,4592777
1960,YR1960,Tajikistan,TJK,2064035
1960,YR1960,Tanzania,TZA,10074490
1960,YR1960,Thailand,THA,27362310
1960,YR1960,Timor-Leste,TMP,499681
1960,YR1960,Togo,TGO,1580513
1960,YR1960,Tonga,TON,61600
1960,YR1960,Trinidad and Tobago,TTO,848481
1960,YR1960,Tunisia,TUN,4220701
1960,YR1960,Turkey,TUR,27553280
1960,YR1960,Turkmenistan,TKM,1593501
1960,YR1960,Turks and Caicos Islands,TCA,5724
1960,YR1960,Tuvalu,TUV,6104
1960,YR1960,Uganda,UGA,6788211
1960,YR1960,Ukraine,UKR,42662162
1960,YR1960,United Arab Emirates,ARE,89608
1960,YR1960,United Kingdom,GBR,52400000
1960,YR1960,United States,USA,180671000
1960,YR1960,Upper middle income,UMC,1063044375
1960,YR1960,Uruguay,URY,2538779
1960,YR1960,Uzbekistan,UZB,8558503
1960,YR1960,Vanuatu,VUT,63701
1960,YR1960,"Venezuela, RB",VEN,7580281
1960,YR1960,Vietnam,VNM,34743000
1960,YR1960,Virgin Islands (U.S.),VIR,32000
1960,YR1960,West Bank and Gaza,WBG,
1960,YR1960,World,WLD,3036764705
1960,YR1960,"Yemen, Rep.",YEM,5099785
1960,YR1960,Zambia,ZMB,3082627
1960,YR1960,Zimbabwe,ZWE,3752390
1961,YR1961,Afghanistan,AFG,8953544
1961,YR1961,Albania,ALB,1668531
1961,YR1961,Algeria,DZA,11560650
1961,YR1961,American Samoa,ASM,20478
1961,YR1961,Andorra,ADO,14376
1961,YR1961,Angola,AGO,5056688
1961,YR1961,Antigua and Barbuda,ATG,55403
1961,YR1961,Arab World,ARB,96058179.4
1961,YR1961,Argentina,ARG,20959241
1961,YR1961,Armenia,ARM,1934239
1961,YR1961,Aruba,ABW,55435
1961,YR1961,Australia,AUS,10483000
1961,YR1961,Austria,AUT,7086299
1961,YR1961,Azerbaijan,AZE,4030130
1961,YR1961,"Bahamas, The",BHS,115108
1961,YR1961,Bahrain,BHR,167924
1961,YR1961,Bangladesh,BGD,50953503
1961,YR1961,Barbados,BRB,231599
1961,YR1961,Belarus,BLR,8271216
1961,YR1961,Belgium,BEL,9183948
1961,YR1961,Belize,BLZ,94701
1961,YR1961,Benin,BEN,2466002
1961,YR1961,Bermuda,BMU,45500
1961,YR1961,Bhutan,BTN,229348
1961,YR1961,Bolivia,BOL,3428270
1961,YR1961,Bosnia and Herzegovina,BIH,3358202
1961,YR1961,Botswana,BWA,536728
1961,YR1961,Brazil,BRA,74988037
1961,YR1961,Brunei Darussalam,BRN,85679
1961,YR1961,Bulgaria,BGR,7943118
1961,YR1961,Burkina Faso,BFA,4894578
1961,YR1961,Burundi,BDI,2840375
1961,YR1961,Cambodia,KHM,5869843
1961,YR1961,Cameroon,CMR,5474509
1961,YR1961,Canada,CAN,18271000
1961,YR1961,Cape Verde,CPV,217150
1961,YR1961,Caribbean small states,CSS,4265016.2
1961,YR1961,Cayman Islands,CYM,8026
1961,YR1961,Central African Republic,CAF,1529229
1961,YR1961,Chad,TCD,3061423
1961,YR1961,Channel Islands,CHI,110399
1961,YR1961,Chile,CHL,7845746
1961,YR1961,China,CHN,660330000
1961,YR1961,Colombia,COL,16488996
1961,YR1961,Comoros,COM,193754
1961,YR1961,"Congo, Dem. Rep.",ZAR,15637715
1961,YR1961,"Congo, Rep.",COG,1039958
1961,YR1961,Costa Rica,CRI,1381532
1961,YR1961,Cote d'Ivoire,CIV,3602075
1961,YR1961,Croatia,HRV,4171672
1961,YR1961,Cuba,CUB,7289830
1961,YR1961,Curacao,CUW,
1961,YR1961,Cyprus,CYP,576395
1961,YR1961,Czech Republic,CZE,9586651
1961,YR1961,Denmark,DNK,4611687
1961,YR1961,Djibouti,DJI,88499
1961,YR1961,Dominica,DMA,61035
1961,YR1961,Dominican Republic,DOM,3424702
1961,YR1961,East Asia & Pacific (all income levels),EAS,1046430695.79981
1961,YR1961,East Asia & Pacific (developing only),EAP,896465279.2
1961,YR1961,Ecuador,ECU,4644682
1961,YR1961,"Egypt, Arab Rep.",EGY,28785879
1961,YR1961,El Salvador,SLV,2858859
1961,YR1961,Equatorial Guinea,GNQ,255100
1961,YR1961,Eritrea,ERI,1438217
1961,YR1961,Estonia,EST,1230050
1961,YR1961,Ethiopia,ETH,22671134
1961,YR1961,Euro area,EMU,262703111
1961,YR1961,Europe & Central Asia (all income levels),ECS,675222434.946964
1961,YR1961,Europe & Central Asia (developing only),ECA,168457820
1961,YR1961,European Union,EUU,412861039
1961,YR1961,Faeroe Islands,FRO,34730
1961,YR1961,Fiji,FJI,407152
1961,YR1961,Finland,FIN,4461005
1961,YR1961,France,FRA,47293811
1961,YR1961,French Polynesia,PYF,80706
1961,YR1961,Gabon,GAB,503762
1961,YR1961,"Gambia, The",GMB,376736
1961,YR1961,Georgia,GEO,3703600
1961,YR1961,Germany,DEU,73377632
1961,YR1961,Ghana,GHA,6866780
1961,YR1961,Greece,GRC,8398050
1961,YR1961,Greenland,GRL,33700
1961,YR1961,Grenada,GRD,91260
1961,YR1961,Guam,GUM,68073
1961,YR1961,Guatemala,GTM,4253298
1961,YR1961,Guinea,GIN,3632778
1961,YR1961,Guinea-Bissau,GNB,642182
1961,YR1961,Guyana,GUY,575976
1961,YR1961,Haiti,HTI,3946666
1961,YR1961,Heavily indebted poor countries (HIPC),HPC,165643238
1961,YR1961,High income,HIC,881126181.146776
1961,YR1961,High income: OECD,OEC,721070827
1961,YR1961,High income: nonOECD,NOC,160055354.146776
1961,YR1961,Honduras,HND,2069085
1961,YR1961,"Hong Kong SAR, China",HKG,3168100
1961,YR1961,Hungary,HUN,10029321
1961,YR1961,Iceland,ISL,179029
1961,YR1961,India,IND,458626687
1961,YR1961,Indonesia,IDN,90860197
1961,YR1961,"Iran, Islamic Rep.",IRN,22535672
1961,YR1961,Iraq,IRQ,7475354
1961,YR1961,Ireland,IRL,2824400
1961,YR1961,Isle of Man,IMY,48353
1961,YR1961,Israel,ISR,2185000
1961,YR1961,Italy,ITA,50536350
1961,YR1961,Jamaica,JAM,1651915.2
1961,YR1961,Japan,JPN,94943000
1961,YR1961,Jordan,JOR,891451.2
1961,YR1961,Kazakhstan,KAZ,10411040
1961,YR1961,Kenya,KEN,8361442
1961,YR1961,Kiribati,KIR,33873
1961,YR1961,"Korea, Dem. Rep.",PRK,11665593
1961,YR1961,"Korea, Rep.",KOR,25725456
1961,YR1961,Kosovo,KSV,966000
1961,YR1961,Kuwait,KWT,294670
1961,YR1961,Kyrgyz Republic,KGZ,2255900
1961,YR1961,Lao PDR,LAO,2169035
1961,YR1961,Latin America & Caribbean (all income levels),LCN,225912228.8
1961,YR1961,Latin America & Caribbean (developing only),LAC,211668492.2
1961,YR1961,Latvia,LVA,2152681
1961,YR1961,Least developed countries: UN classification,LDC,246959735
1961,YR1961,Lebanon,LBN,1864605
1961,YR1961,Lesotho,LSO,866253
1961,YR1961,Liberia,LBR,1144896
1961,YR1961,Libya,LBY,1478580
1961,YR1961,Liechtenstein,LIE,16894
1961,YR1961,Lithuania,LTU,2823550
1961,YR1961,Low & middle income,LMY,2196632103.16
1961,YR1961,Low income,LIC,245425279
1961,YR1961,Lower middle income,LMC,884640791.2
1961,YR1961,Luxembourg,LUX,316845
1961,YR1961,"Macao SAR, China",MAC,175135
1961,YR1961,"Macedonia, FYR",MKD,1491446
1961,YR1961,Madagascar,MDG,5223621
1961,YR1961,Malawi,MWI,3607383
1961,YR1961,Malaysia,MYS,8429369
1961,YR1961,Maldives,MDV,91319
1961,YR1961,Mali,MLI,5151827
1961,YR1961,Malta,MLT,325250
1961,YR1961,Marshall Islands,MHL,15052
1961,YR1961,Mauritania,MRT,883366
1961,YR1961,Mauritius,MUS,680756.8
1961,YR1961,Mexico,MEX,39939271
1961,YR1961,"Micronesia, Fed. Sts.",FSM,45956
1961,YR1961,Middle East & North Africa (all income levels),MEA,109462414.4
1961,YR1961,Middle East & North Africa (developing only),MNA,101572601.4
1961,YR1961,Middle income,MIC,1951206824.16
1961,YR1961,Moldova,MDA,2605000
1961,YR1961,Monaco,MCO,22812
1961,YR1961,Mongolia,MNG,982174
1961,YR1961,Montenegro,MNE,485319
1961,YR1961,Morocco,MAR,12687467
1961,YR1961,Mozambique,MOZ,7800474
1961,YR1961,Myanmar,MMR,21961594
1961,YR1961,Namibia,NAM,617282
1961,YR1961,Nepal,NPL,9710150
1961,YR1961,Netherlands,NLD,11638712
1961,YR1961,New Caledonia,NCL,82656
1961,YR1961,New Zealand,NZL,2419700
1961,YR1961,Nicaragua,NIC,1830304
1961,YR1961,Niger,NER,3429301
1961,YR1961,Nigeria,NGA,46144154
1961,YR1961,North America,NAC,202007500
1961,YR1961,Northern Mariana Islands,MNP,10340
1961,YR1961,Norway,NOR,3609800
1961,YR1961,OECD members,OED,799268710
1961,YR1961,Oman,OMN,564895
1961,YR1961,Other small states,OSS,6757652.76
1961,YR1961,Pacific island small states,PSS,881148
1961,YR1961,Pakistan,PAK,46673627
1961,YR1961,Palau,PLW,9901
1961,YR1961,Panama,PAN,1170499
1961,YR1961,Papua New Guinea,PNG,2001048
1961,YR1961,Paraguay,PRY,1958047
1961,YR1961,Peru,PER,10218174
1961,YR1961,Philippines,PHL,27163317
1961,YR1961,Poland,POL,29964000
1961,YR1961,Portugal,PRT,8929316
1961,YR1961,Puerto Rico,PRI,2399721.6
1961,YR1961,Qatar,QAT,51363
1961,YR1961,Romania,ROM,18555250
1961,YR1961,Russian Federation,RUS,121236340.946964
1961,YR1961,Rwanda,RWA,2996091
1961,YR1961,Samoa,WSM,112121
1961,YR1961,San Marino,SMR,15787
1961,YR1961,Sao Tome and Principe,STP,64549
1961,YR1961,Saudi Arabia,SAU,4202984
1961,YR1961,Senegal,SEN,3265730
1961,YR1961,Serbia,SRB,
1961,YR1961,Seychelles,SYC,42888.96
1961,YR1961,Sierra Leone,SLE,2189040
1961,YR1961,Singapore,SGP,1702000
1961,YR1961,Sint Maarten (Dutch part),SXM,
1961,YR1961,Slovak Republic,SVK,4191667
1961,YR1961,Slovenia,SVN,1594131
1961,YR1961,Small states,SST,11903816.96
1961,YR1961,Solomon Islands,SLB,121403
1961,YR1961,Somalia,SOM,2814683
1961,YR1961,South Africa,ZAF,17949961.6
1961,YR1961,South Asia,SAS,585406178
1961,YR1961,South Sudan,SSD,3011113
1961,YR1961,Spain,ESP,30739250
1961,YR1961,Sri Lanka,LKA,10168000
1961,YR1961,St. Kitts and Nevis,KNA,51195
1961,YR1961,St. Lucia,LCA,90913
1961,YR1961,St. Martin (French part),MAF,4453
1961,YR1961,St. Vincent and the Grenadines,VCT,82144
1961,YR1961,Sub-Saharan Africa (all income levels),SSF,233316832.36
1961,YR1961,Sub-Saharan Africa (developing only),SSA,233061732.36
1961,YR1961,Sudan,SDN,7749884
1961,YR1961,Suriname,SUR,298411
1961,YR1961,Swaziland,SWZ,357522
1961,YR1961,Sweden,SWE,7519998
1961,YR1961,Switzerland,CHE,5434294
1961,YR1961,Syrian Arab Republic,SYR,4742596
1961,YR1961,Tajikistan,TJK,2140413
1961,YR1961,Tanzania,TZA,10373284
1961,YR1961,Thailand,THA,28195264
1961,YR1961,Timor-Leste,TMP,508504
1961,YR1961,Togo,TGO,1597528
1961,YR1961,Tonga,TON,63740
1961,YR1961,Trinidad and Tobago,TTO,865356
1961,YR1961,Tunisia,TUN,4277371.2
1961,YR1961,Turkey,TUR,28229291
1961,YR1961,Turkmenistan,TKM,1649914
1961,YR1961,Turks and Caicos Islands,TCA,5760
1961,YR1961,Tuvalu,TUV,6242
1961,YR1961,Uganda,UGA,7006629
1961,YR1961,Ukraine,UKR,43203646
1961,YR1961,United Arab Emirates,ARE,97727
1961,YR1961,United Kingdom,GBR,52800000
1961,YR1961,United States,USA,183691000
1961,YR1961,Upper middle income,UMC,1066566032.96
1961,YR1961,Uruguay,URY,2571834
1961,YR1961,Uzbekistan,UZB,8871244
1961,YR1961,Vanuatu,VUT,65708
1961,YR1961,"Venezuela, RB",VEN,7872644
1961,YR1961,Vietnam,VNM,35427715.2
1961,YR1961,Virgin Islands (U.S.),VIR,34100
1961,YR1961,West Bank and Gaza,WBG,
1961,YR1961,World,WLD,3077758284.30678
1961,YR1961,"Yemen, Rep.",YEM,5184477
1961,YR1961,Zambia,ZMB,3173662
1961,YR1961,Zimbabwe,ZWE,3876638
1962,YR1962,Afghanistan,AFG,9141783
1962,YR1962,Albania,ALB,1719181
1962,YR1962,Algeria,DZA,11844928
1962,YR1962,American Samoa,ASM,21118
1962,YR1962,Andorra,ADO,15376
1962,YR1962,Angola,AGO,5150076
1962,YR1962,Antigua and Barbuda,ATG,56311
1962,YR1962,Arab World,ARB,98728994.8
1962,YR1962,Argentina,ARG,21295290
1962,YR1962,Armenia,ARM,2002170
1962,YR1962,Aruba,ABW,56226
1962,YR1962,Australia,AUS,10742000
1962,YR1962,Austria,AUT,7129864
1962,YR1962,Azerbaijan,AZE,4167558
1962,YR1962,"Bahamas, The",BHS,121083
1962,YR1962,Bahrain,BHR,173107
1962,YR1962,Bangladesh,BGD,52403243
1962,YR1962,Barbados,BRB,232514
1962,YR1962,Belarus,BLR,8351928
1962,YR1962,Belgium,BEL,9220578
1962,YR1962,Belize,BLZ,97389
1962,YR1962,Benin,BEN,2503232
1962,YR1962,Bermuda,BMU,46600
1962,YR1962,Bhutan,BTN,234758
1962,YR1962,Bolivia,BOL,3505427
1962,YR1962,Bosnia and Herzegovina,BIH,3409319
1962,YR1962,Botswana,BWA,550152
1962,YR1962,Brazil,BRA,77286629
1962,YR1962,Brunei Darussalam,BRN,89595
1962,YR1962,Bulgaria,BGR,8012946
1962,YR1962,Burkina Faso,BFA,4960325
1962,YR1962,Burundi,BDI,2894510
1962,YR1962,Cambodia,KHM,6024281
1962,YR1962,Cameroon,CMR,5593768
1962,YR1962,Canada,CAN,18614000
